,movie_id,title_x,tag
10,1452,Superman Returns,BrandonRouth KevinSpacey KateBosworth JamesMarsden ParkerPosey BrandonRouth KevinSpacey KateBosworth JamesMarsden ParkerPosey Adventure Fantasy Action ScienceFiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor DCComics LegendaryPictures WarnerBros. BadHatHarryProductions
11,10764,Quantum of Solace,DanielCraig OlgaKurylenko MathieuAmalric JudiDench GiancarloGiannini DanielCraig OlgaKurylenko MathieuAmalric JudiDench GiancarloGiannini Adventure Action Thriller Crime killing undercover secretagent britishsecretservice killing undercover secretagent britishsecretservice EonProductions
12,58,Pirates of the Caribbean: Dead Man's Chest,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård BillNighy JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård BillNighy Adventure Fantasy Action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions
13,57201,The Lone Ranger,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter JamesBadgeDale JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter JamesBadgeDale Action Adventure Western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia
14,49521,Man of Steel,HenryCavill AmyAdams MichaelShannon KevinCostner DianeLane HenryCavill AmyAdams MichaelShannon KevinCostner DianeLane Action Adventure Fantasy ScienceFiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms
15,2454,The Chronicles of Narnia: Prince Caspian,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley Adventure Family Fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios
16,24428,The Avengers,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson ScienceFiction Action Adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse ParamountPictures MarvelStudios
17,1865,Pirates of the Caribbean: On Stranger Tides,JohnnyDepp PenélopeCruz IanMcShane KevinMcNally GeoffreyRush JohnnyDepp PenélopeCruz IanMcShane KevinMcNally GeoffreyRush Adventure Action Fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC)
18,41154,Men in Black 3,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbarg EmmaThompson WillSmith TommyLeeJones JoshBrolin MichaelStuhlbarg EmmaThompson Action Comedy ScienceFiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions
19,122917,The Hobbit: The Battle of the Five Armies,MartinFreeman IanMcKellen RichardArmitage KenStott GrahamMcTavish MartinFreeman IanMcKellen RichardArmitage KenStott GrahamMcTavish Action Adventure Fantasy corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM)
20,1930,The Amazing Spider-Man,AndrewGarfield EmmaStone RhysIfans DenisLeary CampbellScott AndrewGarfield EmmaStone RhysIfans DenisLeary CampbellScott Action Adventure Fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger ColumbiaPictures LauraZiskinProductions MarvelEntertainment
21,20662,Robin Hood,RussellCrowe CateBlanchett MaxvonSydow WilliamHurt MarkStrong RussellCrowe CateBlanchett MaxvonSydow WilliamHurt MarkStrong Action Adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia
22,57158,The Hobbit: The Desolation of Smaug,MartinFreeman IanMcKellen RichardArmitage KenStott GrahamMcTavish MartinFreeman IanMcKellen RichardArmitage KenStott GrahamMcTavish Adventure Fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery elves dwarves orcs hobbit dragon wizard swordandsorcery WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM)
23,2268,The Golden Compass,DakotaBlueRichards NicoleKidman DanielCraig SamElliott EvaGreen DakotaBlueRichards NicoleKidman DanielCraig SamElliott EvaGreen Adventure Fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions
24,254,King Kong,NaomiWatts JackBlack AdrienBrody ThomasKretschmann ColinHanks NaomiWatts JackBlack AdrienBrody ThomasKretschmann ColinHanks Adventure Drama Action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm
25,597,Titanic,KateWinslet LeonardoDiCaprio FrancesFisher BillyZane KathyBates KateWinslet LeonardoDiCaprio FrancesFisher BillyZane KathyBates Drama Romance Thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment
26,271110,Captain America: Civil War,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStan AnthonyMackie ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStan AnthonyMackie Adventure Action ScienceFiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios
27,44833,Battleship,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDecker TadanobuAsano TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDecker TadanobuAsano Thriller Action Adventure ScienceFiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri UniversalPictures Hasbro BluegrassFilms Film44
28,135397,Jurassic World,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'Onofrio NickRobinson ChrisPratt BryceDallasHoward IrrfanKhan VincentD'Onofrio NickRobinson Action Adventure ScienceFiction Thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu
29,37724,Skyfall,DanielCraig JudiDench JavierBardem RalphFiennes NaomieHarris DanielCraig JudiDench JavierBardem RalphFiennes NaomieHarris Action Adventure Thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao ColumbiaPictures
30,558,Spider-Man 2,TobeyMaguire KirstenDunst JamesFranco AlfredMolina RosemaryHarris TobeyMaguire KirstenDunst JamesFranco AlfredMolina RosemaryHarris Action Adventure Fantasy dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain ColumbiaPictures LauraZiskinProductions MarvelEnterprises
31,68721,Iron Man 3,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearce RebeccaHall RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearce RebeccaHall Action Adventure ScienceFiction terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis MarvelStudios
32,12155,Alice in Wonderland,"MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarter CrispinGlover MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarter CrispinGlover Family Fantasy Adventure basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany,The"
33,36668,X-Men: The Last Stand,HughJackman HalleBerry IanMcKellen PatrickStewart FamkeJanssen HughJackman HalleBerry IanMcKellen PatrickStewart FamkeJanssen Adventure Action ScienceFiction Thriller mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3Service
34,62211,Monsters University,BillyCrystal JohnGoodman SteveBuscemi HelenMirren NoahJohnston BillyCrystal JohnGoodman SteveBuscemi HelenMirren NoahJohnston Animation Family monster dormitory games animation bestfriend university scary aftercreditsstinger monster dormitory games animation bestfriend university scary aftercreditsstinger WaltDisneyPictures PixarAnimationStudios
35,8373,Transformers: Revenge of the Fallen,ShiaLaBeouf MeganFox JoshDuhamel RainnWilson TyreseGibson ShiaLaBeouf MeganFox JoshDuhamel RainnWilson TyreseGibson ScienceFiction Action Adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios
36,91314,Transformers: Age of Extinction,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltz JackReynor MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltz JackReynor ScienceFiction Action Adventure sequel alien transformers giantrobot robot imax transformingrobot sequel alien transformers giantrobot robot imax transformingrobot ParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios
37,68728,Oz: The Great and Powerful,JamesFranco MilaKunis RachelWeisz MichelleWilliams ZachBraff JamesFranco MilaKunis RachelWeisz MichelleWilliams ZachBraff Fantasy Adventure Family circus witch magic hope illusion lost magictrick wizard 3d circus witch magic hope illusion lost magictrick wizard 3d WaltDisneyPictures RothFilms
38,102382,The Amazing Spider-Man 2,AndrewGarfield EmmaStone JamieFoxx DaneDeHaan CampbellScott AndrewGarfield EmmaStone JamieFoxx DaneDeHaan CampbellScott Action Adventure Fantasy obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers ColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions
39,20526,TRON: Legacy,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitner YayaDaCosta GarrettHedlund JeffBridges OliviaWilde BruceBoxleitner YayaDaCosta Adventure Action ScienceFiction artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy WaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany
40,49013,Cars 2,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimer JohnTurturro OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimer JohnTurturro Animation Family Adventure Comedy carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger WaltDisneyPictures PixarAnimationStudios
41,44912,Green Lantern,RyanReynolds BlakeLively PeterSarsgaard TimRobbins MarkStrong RyanReynolds BlakeLively PeterSarsgaard TimRobbins MarkStrong Adventure Action Thriller ScienceFiction dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d DeLinePictures WarnerBros. DCEntertainment
42,10193,Toy Story 3,TomHanks TimAllen NedBeatty JoanCusack MichaelKeaton TomHanks TimAllen NedBeatty JoanCusack MichaelKeaton Animation Family Comedy hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory WaltDisneyPictures PixarAnimationStudios
43,534,Terminator Salvation,ChristianBale SamWorthington AntonYelchin MoonBloodgood BryceDallasHoward ChristianBale SamWorthington AntonYelchin MoonBloodgood BryceDallasHoward Action ScienceFiction Thriller savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles ColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros.
44,168259,Furious 7,"VinDiesel PaulWalker DwayneJohnson MichelleRodriguez TyreseGibson VinDiesel PaulWalker DwayneJohnson MichelleRodriguez TyreseGibson Action carrace speed revenge suspense car race musclecar carrace speed revenge suspense car race musclecar UniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm,Television&Media"
45,72190,World War Z,BradPitt MireilleEnos AbigailHargrove SterlingJerins JamesBadgeDale BradPitt MireilleEnos AbigailHargrove SterlingJerins JamesBadgeDale Action Drama Horror ScienceFiction Thriller dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse ParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX²
46,127585,X-Men: Days of Future Past,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrence HalleBerry HughJackman JamesMcAvoy MichaelFassbender JenniferLawrence HalleBerry Action Adventure Fantasy ScienceFiction 1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture 1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudios
47,54138,Star Trek Into Darkness,ChrisPine ZacharyQuinto ZoeSaldana KarlUrban SimonPegg ChrisPine ZacharyQuinto ZoeSaldana KarlUrban SimonPegg Action Adventure ScienceFiction spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d ParamountPictures SkydanceProductions BadRobot Kurtzman/Orci
48,81005,Jack the Giant Slayer,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucci IanMcShane NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucci IanMcShane Action Family Fantasy basedonfairytale giant basedonfairytale giant NewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductions
49,64682,The Great Gatsby,LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgerton ElizabethDebicki LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgerton ElizabethDebicki Drama Romance basedonnovel infidelity obsession hope 3d basedonnovel infidelity obsession hope 3d VillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilms
50,9543,Prince of Persia: The Sands of Time,JakeGyllenhaal GemmaArterton BenKingsley AlfredMolina SteveToussaint JakeGyllenhaal GemmaArterton BenKingsley AlfredMolina SteveToussaint Adventure Fantasy Action Romance persia sandstorm brotheragainstbrother armageddon regent basedonvideogame persia sandstorm brotheragainstbrother armageddon regent basedonvideogame WaltDisneyPictures JerryBruckheimerFilms
51,68726,Pacific Rim,IdrisElba CharlieHunnam CharlieDay RonPerlman BurnGorman IdrisElba CharlieHunnam CharlieDay RonPerlman BurnGorman Action ScienceFiction Adventure dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d LegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductions
52,38356,Transformers: Dark of the Moon,ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormand JoshDuhamel ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormand JoshDuhamel Action ScienceFiction Adventure moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger ParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudios
53,217,Indiana Jones and the Kingdom of the Crystal Skull,HarrisonFord CateBlanchett ShiaLaBeouf RayWinstone KarenAllen HarrisonFord CateBlanchett ShiaLaBeouf RayWinstone KarenAllen Adventure Action savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology  savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology  Lucasfilm ParamountPictures
54,105864,The Good Dinosaur,RaymondOchoa JackBright JeffreyWright FrancesMcDormand MaleahNipay-Padilla RaymondOchoa JackBright JeffreyWright FrancesMcDormand MaleahNipay-Padilla Adventure Animation Family tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey WaltDisneyPictures PixarAnimationStudios
55,62177,Brave,KellyMacdonald JulieWalters BillyConnolly EmmaThompson KevinMcKidd KellyMacdonald JulieWalters BillyConnolly EmmaThompson KevinMcKidd Animation Adventure Comedy Family Action Fantasy scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d WaltDisneyPictures PixarAnimationStudios
56,188927,Star Trek Beyond,ChrisPine ZacharyQuinto KarlUrban SimonPegg ZoeSaldana ChrisPine ZacharyQuinto KarlUrban SimonPegg ZoeSaldana Action Adventure ScienceFiction sequel stranded hatred spaceopera sequel stranded hatred spaceopera ParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMedia
57,10681,WALL·E,BenBurtt ElissaKnight JeffGarlin FredWillard JohnRatzenberger BenBurtt ElissaKnight JeffGarlin FredWillard JohnRatzenberger Animation Family romanticcomedy romanticcomedy WaltDisneyPictures PixarAnimationStudios FortyFourStudios
58,5174,Rush Hour 3,ChrisTucker JackieChan HiroyukiSanada MaxvonSydow YvanAttal ChrisTucker JackieChan HiroyukiSanada MaxvonSydow YvanAttal Action Comedy Crime Thriller ambassador ambassador NewLineCinema
59,14161,2012,JohnCusack AmandaPeet ChiwetelEjiofor ThandieNewton OliverPlatt JohnCusack AmandaPeet ChiwetelEjiofor ThandieNewton OliverPlatt Action Adventure ScienceFiction civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind ColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductions
60,17979,A Christmas Carol,GaryOldman JimCarrey SteveValentine DarylSabara SageRyan GaryOldman JimCarrey SteveValentine DarylSabara SageRyan Animation Drama holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas WaltDisney ImageMovers
61,76757,Jupiter Ascending,MilaKunis ChanningTatum SeanBean EddieRedmayne DouglasBooth MilaKunis ChanningTatum SeanBean EddieRedmayne DouglasBooth ScienceFiction Fantasy Action Adventure jupiter space womandirector 3d interspeciesromance jupiter space womandirector 3d interspeciesromance VillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros.
